"","group","I_nfi_need1_rank1","I_nfi_need1_rank2","I_nfi_need1_rank3","I_nfi_need1_rank4","I_nfi_need1_rank5","I_nfi_need1_name1","I_nfi_need1_name2","I_nfi_need1_name3","I_nfi_need1_name4","I_nfi_need1_name5"
"1","NG008001","1.0000",NA,NA,NA,NA,"Soap",NA,NA,NA,NA
"2","NG008002","1.0000",NA,NA,NA,NA,"Soap",NA,NA,NA,NA
"3","NG008003","0.5385","0.1538","0.1538","0.0769","0.0769","Soap","Blanket","clothes","Mosquito net","Sleeping mat"
"4","NG008008","1.0000",NA,NA,NA,NA,"Soap",NA,NA,NA,NA
"5","NG008010","0.5000","0.5000",NA,NA,NA,"Mosquito net","Sleeping mat",NA,NA,NA
"6","NG008011","0.2500","0.2500","0.1250","0.1250","0.1250","Blanket","clothes","Cooking pot","Jerry can","Mosquito net"
"7","NG008015","0.3333","0.3333","0.3333",NA,NA,"Blanket","clothes","Cooking pot",NA,NA
"8","NG008016","1.0000",NA,NA,NA,NA,"clothes",NA,NA,NA,NA
"9","NG008017","0.6667","0.3333",NA,NA,NA,"Mosquito net","Sleeping mat",NA,NA,NA
"10","NG008019","1.0000",NA,NA,NA,NA,"Soap",NA,NA,NA,NA
"11","NG008022","0.2857","0.2857","0.2857","0.1429",NA,"Mosquito net","Sleeping mat","Soap","clothes",NA
"12","NG008025","0.6667","0.3333",NA,NA,NA,"Cooking pot","clothes",NA,NA,NA
