"","group","J_water_now_how_rank1","J_water_now_how_rank2","J_water_now_how_rank3","J_water_now_how_rank4","J_water_now_how_rank5","J_water_now_how_name1","J_water_now_how_name2","J_water_now_how_name3","J_water_now_how_name4","J_water_now_how_name5"
"1","NG008001","1.0000",NA,NA,NA,NA,"Unprotected well",NA,NA,NA,NA
"2","NG008002","1.0000",NA,NA,NA,NA,"Unprotected well",NA,NA,NA,NA
"3","NG008003","0.6429","0.1429","0.0714","0.0714","0.0714","Unprotected well","Protected well","Borehole","Sexual violence","River / stream"
"4","NG008008","0.5000","0.3333","0.1667",NA,NA,"Well","Protected well","Unprotected well",NA,NA
"5","NG008010","1.0000",NA,NA,NA,NA,"Protected well",NA,NA,NA,NA
"6","NG008011","0.7778","0.2222",NA,NA,NA,"Unprotected well","River / stream",NA,NA,NA
"7","NG008015","0.4000","0.4000","0.2000",NA,NA,"Borehole","Protected well","Unprotected well",NA,NA
"8","NG008016","1.0000",NA,NA,NA,NA,"Unprotected well",NA,NA,NA,NA
"9","NG008017","0.5000","0.5000",NA,NA,NA,"Protected well","Unprotected well",NA,NA,NA
"10","NG008019","1.0000",NA,NA,NA,NA,"Protected well",NA,NA,NA,NA
"11","NG008022","0.4444","0.2222","0.2222","0.1111",NA,"Protected well","River / stream","Unprotected well","Tap stand",NA
"12","NG008025","0.6667","0.3333",NA,NA,NA,"Protected well","Unprotected well",NA,NA,NA
