"","group","N_info_trust_rank1","N_info_trust_rank2","N_info_trust_rank3","N_info_trust_name1","N_info_trust_name2","N_info_trust_name3"
"1","NG008001","1.0000",NA,NA,"None",NA,NA
"2","NG008002","1.0000",NA,NA,"None",NA,NA
"3","NG008003","0.6429","0.2143","0.1429","In person","None","Phone call (Mobile phone)"
"4","NG008008","1.0000",NA,NA,"In person",NA,NA
"5","NG008010","1.0000",NA,NA,"In person",NA,NA
"6","NG008011","1.0000",NA,NA,"In person",NA,NA
"7","NG008015","0.6667","0.3333",NA,"In person","Phone call (Mobile phone)",NA
"8","NG008016","0.5000","0.5000",NA,"In person","Radio",NA
"9","NG008017","1.0000",NA,NA,"In person",NA,NA
"10","NG008019","1.0000",NA,NA,"In person",NA,NA
"11","NG008022","1.0000",NA,NA,"In person",NA,NA
"12","NG008025","1.0000",NA,NA,"In person",NA,NA
