"","state_lga","ward_lga","ki_coverage","settlement_ward_lga","C_info_state","C_info_lga","C_info_ward","C_info_settlement","D_D1_hc_now","D_D1_hc_remain_perc","D_D1_insurgents_settlements","D_D1_community_leadership","D_D1_community_leadership_groups_youth","D_D1_community_leadership_groups_women","D_D1_community_leadership_groups_elderly","D_D1_community_leadership_groups_disabled","D_D1_community_leadership_groups_none","D_D2_idp_now","D_D2_idp_perc","D_D2_idp_time_arrive","D_D2_idp_source_state","D_D2_idp_source_lga","D_D2_idp_abductee","D_D3_returnees_now","D_D4_child_perc","D_D4_pregnant_lactating_perc","E_food_now","E_food_no_reason1","E_food_now_type_main_staples","E_food_now_type_pulses","E_food_now_type_fruit","E_food_now_type_vegetables","E_food_now_type_meat","E_food_now_type_milk_dairy","E_food_source","E_food_wild_now","E_meals_number","E_food_distr","E_market_now","E_market_now_se","E_market_now_who","E_cereal_price_increase","E_food_coping_consumption_less_expensive_food","E_food_coping_consumption_borrow_food","E_food_coping_consumption_wild_food","E_food_coping_consumption_limit_meal_size","E_food_coping_consumption_only_children_eat","E_food_coping_consumption_reduce_meals","E_food_coping_consumption_skip_days","E_food_coping_consumption_none","E_food_coping_livelihoods_borrow_food","E_food_coping_livelihoods_borrow_money","E_food_coping_livelihoods_gather_wild_food","E_food_coping_livelihoods_consume_seeds","E_food_coping_livelihoods_send_children_to_neighbors","E_food_coping_livelihoods_household_begs","E_food_coping_livelihoods_sell_home_assets","E_food_coping_livelihoods_sell_livestock","E_food_coping_livelihoods_slaughter_livestock","E_food_coping_livelihoods_hunting","E_food_coping_livelihoods_fishing","E_food_coping_livelihoods_cattle_camps","E_food_coping_livelihoods_displacement_camp","E_food_coping_livelihoods_none","E_shock_hunger","E_shock_arrival","E_shock_cereal_price","E_shock_protection","E_current_activities_crops_for_cash","E_current_activities_crops_for_sustenance","E_current_activities_livestock","E_current_activities_hunting","E_current_activities_fishing","E_current_activities_casual_labour","E_current_activities_market","E_current_activities_salaries","E_current_activities_remittances","E_current_activities_poultry","E_current_activities_none","E_current_activities_other","E_livelihoods_practice_subsistence","E_livelihoods_practice_farmingsell","E_livelihoods_practice_grazing","E_livelihoods_practice_markets","E_livelihoods_practice_transportation","E_livelihoods_practice_trade","E_livelihoods_practice_artisan","E_livelihoods_practice_service","E_livelihoods_practice_other","E_livelihoods_barriers","E_livelihoods_barriers_choice_farmland","E_livelihoods_barriers_choice_waterways","E_livelihoods_barriers_choice_grazing","E_livelihoods_barriers_choice_markets","E_livelihoods_barriers_choice_transportation","E_livelihoods_barriers_choice_other","E_land_available","E_ag_inputs","E_harvest_last","E_harvest_next","E_livestock_possession","E_livestock_access","E_harvest_who","E_harvest_use","E_fuel_cooking","E_fuel_lighting","E_fuel_obtain","E_fuel_insufficient","F_health_now","F_health_dist","F_health_no_reason1","F_supp_feeding","F_health_problems1","F_mortality_increase","F_mortality_increase_why","F_mortality_child","F_mortality_adults","F_mortality_eldery","F_polio_vacc","F_polio_vacc_visit","F_polio_vacc_infection","G_prot_now","G_prot_incidence","G_prot_looting","G_prot_women_concern","G_prot_men_concern","G_prot_girls_concern","G_prot_boys_concern","G_prot_unaccompanied","G_comm_relations","G_disputes_violence","G_disputes","G_lighting","G_night_walk","G_abduction_girls","G_abduction_boys","G_suicide_bombing","G_safe_concerns","G_detained_childer","G_detained_adult","G_move_men","G_move_women","G_enslaved_labor","G_mines","G_quantity_uxo","G_mine_acc_numb","I_I1_nd_shelter_type1","I_I1_nd_location","I_I1_rt_shelter_type1","I_I1_rt_location","I_I2_idp_shelter_type1","I_I2_idp_location","I_I2_shelter_open_yn","I_I2_shelter_open","I_shelter_materials_grass","I_shelter_materials_mud","I_shelter_materials_timber","I_shelter_materials_rope","I_shelter_materials_cgi","I_shelter_materials_ps","I_shelter_materials_pole","I_shelter_materials_none","I_shelter_materials_other","I_shelter_damage","I_shelter_destroyed_percent","I_shelter_flooding","I_nfi_available_blanket","I_nfi_available_sleeping_mat","I_nfi_available_jerry_can","I_nfi_available_cooking_pot","I_nfi_available_mosquito_net","I_nfi_available_bucket","I_nfi_available_soap","I_nfi_available_none","I_nfi_available_other","I_nfi_source_pre_displacement","I_nfi_source_market","I_nfi_source_local_community","I_nfi_source_ngo","I_nfi_source_didnt_get","I_nfi_source_other","I_nfi_need1","I_nfi_distribution","J_water_boreholes","J_water_boreholes_functional","J_water_now_how","J_water_now_time","J_water_source_animals","J_water_safety","J_water_source_seasonal","J_latrine_now","J_latrine_usage","J_latrine_no_usage","J_hand_washing","K_edu_now","K_edu_no_reason","K_edu_girl_formal","K_edu_girl_formal_attendance","K_edu_girl_informal","K_edu_girl_informal_attendance","K_attendance_no_reason1_girls","K_edu_boy_formal","K_edu_boy_formal_attendance","K_edu_boy_informal","K_edu_boy_informal_attendance","K_attendance_no_reason1_boys","N_radio_allowed","N_radio_existing","N_cellphoneallowed","N_cellphone_existing","N_info_source","N_info_source_who","N_electricity","N_mobilephone","N_info_trust","N_prevent_info","N_prevent_info_how","N_prevent_info_what","D_D2_idp_source_ward","D_D2_idp_source_settlement","D_D3_returnee_time_arrived","L_idp_leadership","ward_htr_settle_cnt","ward_gis_settle_cnt","ward_prcnt_of_H2R","ward_prcnt20ov_yn","lga_settle_cnt_H2R","lga_settle_cnt_GIS","lga_prcnt_of_H2R","lga_prcnt20ov_yn"
"1","borno;NG008001","NG008001002;NG008001",NC,"f1e7f101-67f3-4d0e-a910-07ad1bdd3eed;NG008001002;NG008001","borno","NG008001","NG008001002","f1e7f101-67f3-4d0e-a910-07ad1bdd3eed","yes","less_half","no","no","SL","SL","SL","SL","SL","yes","less_half","7_12_months","NC","NC","NC","no","less_half","less_half","no","food_taken_away_by_AOG","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","cultivated","yes","two","no","yes","no","yes","no","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","hunger_small","large_impact","SL","small_impact","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","no","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","yes","no","yes","yes","yes","yes","no","NC","firewood","none","collect_within","fuel_sufficient","no","SL","never_there","no","measles","yes","other","other","natural","natural","no","NC","no","stay","yes","yes","forced_marriage","fear_of_being_beaten_by_AOG","forced_marriage","fear_of_being_beaten_by_AOG","yes","good","SL","NC","no","no","yes","no","no","outside","no","no","yes","no","no","no","SL","SL","makeshift","bush","SL","SL","makeshift","bush","no","SL","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","yes","all","no","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","soap","no","no","SL","unpro_well","30_minutes_1_hour","yes","no","yes","yes","all","NC","only_water","no","no_facilities","SL","SL","SL","SL","NC","SL","SL","SL","SL","NC","no","no","no","no","none","NC","none","no","none","yes","security","info_family",NC,NC,"SL","SL",1,67,0.015,0,1,385,0.0025974025974026,0
"2","borno;NG008002","NG008002001;NG008002",NC,"0fc9aeff-f678-4798-a33e-ab2158a84381;NG008002001;NG008002","borno","NG008002","NG008002001","0fc9aeff-f678-4798-a33e-ab2158a84381","yes","half","no","no","SL","SL","SL","SL","SL","yes","less_half","7_12_months","NC","NC","NC","yes","less_half","less_half","no","no_cash_food","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","cultivated","yes","two","no","yes","no","yes","no","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","hunger_small","large_impact","SL","small_impact","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","yes","SL","SL","SL","SL","SL","SL","yes","no","yes","yes","yes","yes","no","NC","firewood","torchlight","collect_within","fuel_sufficient","no","SL","never_there","no","diarrhea","no","SL","cholera_diarrhea","natural","natural","no","NC","yes","stay","yes","yes","looting","kill_inj_oth","looting","kill_inj_oth","yes","good","SL","NC","yes","no","no","no","no","outside","no","no","yes","no","no","no","SL","SL","makeshift","bush","makeshift","bush","makeshift","bush","yes","none","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","no","SL","no","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","soap","no","no","SL","unpro_well","under_30_minutes","yes","no","yes","yes","all","NC","only_water","no","no_facilities","SL","SL","SL","SL","NC","SL","SL","SL","SL","NC","no","no","yes","yes","none","NC","none","yes","none","yes","security","info_family",NC,NC,NC,"SL",1,39,0.03,0,1,530,0.00188679245283019,0
"3","borno;NG008003","NG008003001;NG008003",NC,"f7d9db94-f80c-43c7-a910-36c391133026;NG008003001;NG008003","borno","NG008003","NG008003001","f7d9db94-f80c-43c7-a910-36c391133026","yes","less_half","yes","yes","NC","NC","NC","NC","NC","yes","NC","7_12_months","NC","NC","NC","no","less_half","less_half","no","food_taken_away_by_AOG","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","cultivated","yes","two","yes","no","NC","NC","SL","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","hunger_severe","NC","SL","no_impact","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","no","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","no","no","yes","yes","yes","no","yes","NC","firewood","torchlight","collect_within","reduced_meals","no","SL","never_there","no","fever","no","SL","NC","NC","NC","no","NC","no","worse","no","yes","fear_of_being_beaten_by_AOG","NC","forced_marriage","aog_violence","yes","NC","SL","NC","no","no","no","no","no","inside","no","yes","yes","no","yes","no","SL","SL","makeshift","bush","SL","SL","NC","NC","no","SL","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","yes","NC","yes","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","blanket","no","yes","yes","river","1_hour_half_day","yes","yes","yes","yes","NC","none_available","only_water","no","no_facilities","SL","SL","SL","SL","NC","SL","SL","SL","SL","NC","yes","yes","yes","no","in_person","friend_family","none","no","phone_call","no","SL","SL",NC,NC,"SL",NC,1,75,0.015,0,14,804,0.0174129353233831,0
"4","borno;NG008003","NG008003002;NG008003",NC,"3d1f3d67-bca7-4f92-a8ed-c2070ab1720a;NG008003002;NG008003","borno","NG008003","NG008003002","3d1f3d67-bca7-4f92-a8ed-c2070ab1720a","yes","half","yes","no","SL","SL","SL","SL","SL","yes","less_half","1_year","borno","NG008003","yes","no","less_half","less_half","no","food_taken_away_by_AOG","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","cultivated","yes","two","no","no","NC","NC","SL","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","hunger_small","no_impact","SL","no_impact","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","no","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","yes","no","yes","yes","no","no","yes","dontknow","firewood","firewood","collect_outside","fuel_sufficient","no","SL","never_there","no","malnutrition","yes","hunger_malnutrition","hunger_malnutrition","conflict","natural","no","NC","no","worse","yes","yes","abduct","abduct","abduct","abduct","yes","good","SL","NC","no","no","yes","yes","no","inside","yes","yes","no","no","yes","no","SL","SL","makeshift","bush","SL","SL","makeshift","host_com","no","SL","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","yes","more_half","no","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","sleeping_mat","no","no","SL","pond","30_minutes_1_hour","yes","yes","yes","no","SL","SL","only_water","no","no_facilities","SL","SL","SL","SL","NC","SL","SL","SL","SL","NC","no","no","no","no","none","NC","none","no","none","yes","security","info_aid",NC,NC,"SL","SL",1,58,0.02,0,14,804,0.0174129353233831,0
"5","borno;NG008003","NG008003003;NG008003",NC,"xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx;NG008003003;NG008003","borno","NG008003","NG008003003","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx","yes","less_half","yes","yes","NC","NC","NC","NC","NC","yes","NC","4_6_months","NC","NC","no","yes","less_half","less_half","no","NC","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","cultivated","yes","two","no","yes","no","yes","no","NC","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","NC","NC","SL","large_impact","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","no","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","no","no","yes","yes","no","no","yes","other","firewood","torchlight","collect_outside","fuel_sufficient","no","SL","never_there","no","none","yes","NC","natural","natural","natural","no","NC","yes","stay","yes","yes","fear_of_being_beaten_by_AOG","fear_of_being_beaten_by_AOG","fear_of_being_beaten_by_AOG","fear_of_being_beaten_by_AOG","yes","NC","SL","NC","yes","yes","yes","no","no","outside","yes","yes","yes","yes","yes","no","SL","SL","makeshift","bush","NC","NC","NC","NC","no","SL","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","yes","NC","no","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","soap","no","yes","yes","unpro_well","30_minutes_1_hour","yes","yes","yes","yes","all","NC","only_water","yes","SL","no","SL","yes","NC","NC","no","SL","yes","NC","NC","yes","yes","yes","yes","radio","NC","none","yes","person","yes","NC","NC",NC,NC,NC,NC,1,48,0.025,0,14,804,0.0174129353233831,0
"6","borno;NG008003","NG008003004;NG008003",NC,"xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx;NG008003004;NG008003","borno","NG008003","NG008003004","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx","yes","less_half","yes","no","SL","SL","SL","SL","SL","yes","NC","1_year","NC","NC","yes","no","less_half","less_half","no","unsafe_access_land","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","cultivated","yes","two","no","yes","no","yes","no","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","NC","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","hunger_severe","NC","SL","no_impact","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","no","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","no","no","yes","yes","no","no","yes","NC","firewood","torchlight","collect_within","reduced_meals","yes","NC","SL","no","fever","yes","NC","hunger_malnutrition","natural","natural","no","NC","yes","worse","yes","yes","aog_violence","aog_violence","forced_marriage","none","yes","NC","SL","NC","no","no","yes","yes","yes","inside","yes","yes","yes","yes","yes","yes","1.5","no","tent","proper_home","SL","SL","NC","NC","yes","NC","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","yes","NC","yes","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","soap","yes","yes","yes","unpro_well","under_30_minutes","yes","yes","yes","yes","NC","none_available","only_water","yes","SL","no","SL","yes","NC","NC","no","SL","yes","NC","NC","yes","yes","yes","yes","none","NC","none","yes","person","yes","no_obstacle","NC",NC,NC,"SL","SL",1,54,0.02,0,14,804,0.0174129353233831,0
"7","borno;NG008003","NG008003005;NG008003",NC,"acde3423-bdb8-41fb-a78f-c604eec5def1;NG008003005;NG008003","borno","NG008003","NG008003005","acde3423-bdb8-41fb-a78f-c604eec5def1","yes","less_half","yes","no","SL","SL","SL","SL","SL","yes","less_half","4_6_months","NC","NC","no","yes","less_half","less_half","no","NC","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","cultivated","yes","two","no","no","NC","NC","SL","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","NC","NC","SL","large_impact","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","no","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","yes","no","yes","yes","no","no","yes","other","firewood","torchlight","collect_outside","fuel_sufficient","no","SL","never_there","no","none","yes","NC","natural","natural","natural","no","NC","yes","stay","yes","yes","fear_of_being_beaten_by_AOG","fear_of_being_beaten_by_AOG","fear_of_being_beaten_by_AOG","fear_of_being_beaten_by_AOG","yes","good","SL","NC","yes","yes","yes","yes","no","outside","no","no","yes","yes","yes","no","SL","SL","makeshift","bush","NC","NC","makeshift","bush","yes","NC","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","yes","all","no","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","soap","no","yes","yes","unpro_well","30_minutes_1_hour","yes","yes","yes","yes","all","NC","only_water","yes","SL","no","SL","yes","NC","NC","no","SL","yes","NC","NC","yes","yes","yes","yes","in_person","friend_family","none","yes","person","yes","NC","NC",NC,NC,NC,"SL",1,101,0.01,0,14,804,0.0174129353233831,0
"8","borno;NG008003","NG008003006;NG008003",NC,"xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx;NG008003006;NG008003","borno","NG008003","NG008003006","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx","yes","less_half","yes","no","SL","SL","SL","SL","SL","yes","half","4_6_months","borno","NG008003","no","no","less_half","less_half","no","food_taken_away_by_AOG","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","forage","yes","one","no","no","NC","NC","SL","NC","TRUE","TRUE","NC","NC","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","hunger_severe","large_impact","SL","large_impact","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","no","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","no","no","yes","yes","no","no","yes","NC","firewood","torchlight","collect_outside","nothing","no","SL","never_there","no","NC","yes","NC","hunger_malnutrition","conflict","natural","no","NC","yes","worse","yes","yes","fear_of_being_beaten_by_AOG","NC","NC","forced_recruit","yes","good","SL","NC","yes","no","yes","yes","yes","inside","yes","yes","yes","yes","yes","no","SL","SL","makeshift","bush","SL","SL","makeshift","bush","yes","less_half","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","yes","less_half","no","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","clothes","no","yes","yes","unpro_well","NC","yes","yes","yes","yes","NC","none_available","only_water","yes","SL","no","SL","yes","NC","NC","no","SL","yes","NC","NC","no","yes","no","no","NC","NC","none","no","person","yes","no_obstacle","info_family",NC,NC,"SL","SL",1,71,0.015,0,14,804,0.0174129353233831,0
"9","borno;NG008003","NG008003007;NG008003",NC,"xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx;NG008003007;NG008003","borno","NG008003","NG008003007","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx","yes","less_half","no","no","SL","SL","SL","SL","SL","no","SL","SL","SL","SL","NC","yes","less_half","NC","no","NC","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","cultivated","yes","two","no","no","NC","NC","SL","TRUE","FALSE","FALSE","NC","FALSE","NC","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","NC","NC","SL","large_impact","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","no","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","yes","no","yes","yes","no","no","yes","other","firewood","torchlight","collect_within","fuel_sufficient","no","SL","never_there","no","none","no","SL","natural","natural","natural","no","NC","yes","stay","yes","yes","none","none","none","none","yes","SL","SL","NC","yes","yes","yes","no","no","outside","no","yes","yes","yes","yes","no","SL","SL","NC","other_home","NC","NC","SL","SL","SL","SL","TRUE","NC","NC","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","yes","NC","no","NC","TRUE","TRUE","TRUE","NC","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","mosquito_net","no","no","SL","unpro_well","under_30_minutes","no","no","yes","yes","all","NC","only_water","no","no_facilities","SL","SL","SL","SL","NC","SL","SL","SL","SL","NC","yes","yes","no","no","none","NC","none","no","none","yes","NC","NC","SL","SL",NC,"SL",1,33,0.035,0,14,804,0.0174129353233831,0
"10","borno;NG008003","NG008003008;NG008003",NC,"5dc47bba-c9de-4b7c-bf20-55375e482f45;NG008003008;NG008003","borno","NG008003","NG008003008","5dc47bba-c9de-4b7c-bf20-55375e482f45","no","SL","yes","yes","TRUE","FALSE","FALSE","FALSE","FALSE","yes","less_half","1_month","borno","NG008011","NC","yes","more_half","less_half","no","no_cash_food","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","family_friends","yes","two","no","yes","yes","no","no","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","hunger_small","no_impact","SL","no_impact","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","yes","SL","SL","SL","SL","SL","SL","yes","yes","yes","yes","yes","yes","NC","NC","firewood","firewood","collect_outside","nothing","no","SL","never_there","no","none","no","SL","other","other","other","no","NC","NC","better","yes","NC","none","harass","none","looting","yes","good","SL","NC","no","no","no","no","no","inside","yes","no","NC","no","yes","no","SL","SL","SL","SL","NC","NC","permanent","host_com","no","SL","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","yes","half","yes","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","soap","no","no","SL","pro_well","under_30_minutes","yes","no","yes","yes","more_half","SL","only_water","no","no_facilities","SL","SL","SL","SL","NC","SL","SL","SL","SL","NC","yes","yes","yes","NC","in_person","leader_chief","none","NC","person","no","SL","SL",NC,NC,NC,NC,1,23,0.045,0,14,804,0.0174129353233831,0
